Whichyear,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight,feelingrightnow
4th year,33,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,4,Bad
4th year,93,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,10,Very good
4th year,25,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,4,Bad
4th year,17,Male,23,Playground,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,Yes,Yes,Yes,7,Very bad
4th year,72,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8,Good
4th year,73,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7,Good
4th year,23,Male,23,Playground,Single,No,1,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,3,Bad
4th year,86,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9,Good
4th year,58,Male,23,Playground,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,No,Yes,No,No,8,Normal
4th year,100,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8,Very good
4th year,2,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,Yes,5,Very bad
4th year,17,Male,23,Playground,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,5,Very bad
4th year,7,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,6,Very bad
4th year,79,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,9,Good
