Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Good,76,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Good,86,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10
4th year,Very bad,14,Male,23,Playground,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,3
4th year,Normal,60,Male,23,Home,Single,No,4,Normal,No,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,8
4th year,Normal,64,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,6
4th year,Bad,49,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,5
4th year,Bad,41,Male,23,Department,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,4
4th year,Very good,91,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,Normal,56,Male,23,Home,Single,Yes,5,Normal,Yes,No,No,Family,Yes,No,Yes,No,No,6
4th year,Bad,20,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,Yes,No,No,7
4th year,Normal,68,Male,23,Home,Single,No,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7
4th year,Very bad,8,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3
4th year,Normal,70,Male,23,Department,Single,Yes,5,Normal,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,Very good,97,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,10
4th year,Normal,65,Male,23,Playground,Single,Yes,5,Normal,No,Yes,No,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,Good,73,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9
4th year,Bad,45,Male,23,Department,Single,No,2,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,No,No,5
4th year,Very bad,16,Male,23,Home,Single,No,1,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3
4th year,Very good,99,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10
4th year,Very bad,14,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,No,Neutral,No,Yes,3
4th year,Good,71,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,Very good,92,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Bad,27,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,Yes,4
4th year,Very bad,3,Male,23,Playground,Single,No,1,Good,Yes,Yes,No,Friends,Yes,No,No,No,No,7
4th year,Very bad,2,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,No,Neutral,Yes,No,4
4th year,Very good,95,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Very good,93,Male,23,Playground,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Normal,53,Male,23,Hall-Mess,Single,No,3,Normal,No,Yes,No,Family,Yes,Maybe,Yes,Yes,No,6
4th year,Normal,51,Male,23,Department,Single,Yes,5,Normal,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,6
4th year,Very good,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,Normal,69,Male,23,Home,Single,Yes,5,Normal,Yes,Yes,No,Friends,Yes,No,Yes,No,No,6
4th year,Very bad,17,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Friends,Yes,Yes,No,Yes,No,5
4th year,Very good,96,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,Good,71,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Very good,91,Male,23,Home,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7
4th year,Normal,53,Male,23,Playground,Single,No,4,Normal,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,7
4th year,Normal,61,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,6
4th year,Very good,91,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,9
4th year,Normal,61,Male,23,Playground,Single,No,3,Normal,No,Yes,No,Friends,Yes,No,Neutral,Yes,Yes,6
4th year,Normal,61,Male,23,Playground,Single,No,5,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8
4th year,Good,72,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,No,7
4th year,Good,89,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,Good,74,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,Bad,23,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,No,7
4th year,Bad,45,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,No,No,Family,Yes,Maybe,Neutral,Yes,No,5
4th year,Very bad,12,Male,23,Playground,Single,No,2,Normal,Yes,No,Yes,Family,Yes,Maybe,No,No,No,7
4th year,Good,86,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,9
4th year,Normal,53,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,Very good,98,Male,23,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7
4th year,Bad,38,Male,23,Playground,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Yes,Neutral,No,No,4
4th year,Very bad,19,Male,23,Department,Single,Yes,3,Good,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,3
4th year,Very good,91,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,Normal,53,Male,23,Playground,Single,Yes,4,Good,Yes,No,No,Family,Yes,No,Neutral,Yes,No,6
4th year,Good,76,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,7
4th year,Very good,92,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,8
4th year,Bad,44,Male,23,Playground,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,Yes,Neutral,Yes,Yes,3
4th year,Very bad,9,Male,23,Playground,Single,No,1,Bad,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,5
4th year,Very bad,11,Male,23,Home,Single,No,2,Bad,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,4
4th year,Very good,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,Normal,58,Male,23,Playground,Single,No,3,Good,Yes,No,No,Family,Yes,Maybe,Yes,No,No,8
4th year,Very good,90,Male,23,Department,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,No,8
4th year,Very bad,1,Male,23,Home,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,No,Yes,No,4
4th year,Very bad,15,Male,23,Home,Single,No,3,Bad,Yes,Yes,Yes,Friends,Yes,No,No,Yes,Yes,6
4th year,Very good,92,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10
4th year,Normal,52,Male,23,Playground,Single,No,4,Good,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,8
4th year,Very bad,15,Male,23,Playground,Single,No,2,Good,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,3
4th year,Normal,56,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,Yes,No,6
4th year,Normal,70,Male,23,Hall-Mess,Single,No,5,Normal,No,No,No,Friends,Yes,Maybe,Yes,Yes,Yes,6
